Year,DateTime,Round,Stadium,City,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation
1990,"01 Jul 1990 - 21:00 ",Quarter-finals,San Paolo,"Naples ",England,3,2,Cameroon,"England win after extra time "
1990,"03 Jul 1990 - 20:00 ",Semi-finals,San Paolo,"Naples ",Italy,1,1,Argentina," win on penalties (3 - 4) "
1990,"04 Jul 1990 - 20:00 ",Semi-finals,Stadio delle Alpi,"Turin ",Germany FR,1,1,England," win on penalties (4 - 3) "
1990,"07 Jul 1990 - 20:00 ",Match for third place,Stadio San Nicola,"Bari ",Italy,2,1,England," "
1990,"08 Jul 1990 - 20:00 ",Final,Stadio Olimpico,"Rome ",Germany FR,1,0,Argentina," "
1994,"17 Jun 1994 - 19:30 ",Group C,Cotton Bowl,"Dallas ",Spain,2,2,Korea Republic," "
1994,"17 Jun 1994 - 15:00 ",Group C,Soldier Field,"Chicago ",Germany,1,0,Bolivia," "
1994,"18 Jun 1994 - 11:30 ",Group A,Pontiac Silverdome,"Detroit ",USA,1,1,Switzerland," "
1994,"18 Jun 1994 - 16:00 ",Group E,Giants Stadium,"New York/New Jersey ",Italy,0,1,Republic of Ireland," "
1994,"18 Jun 1994 - 19:30 ",Group A,Rose Bowl,"Los Angeles ",Colombia,1,3,Romania," "
1994,"19 Jun 1994 - 12:30 ",Group F,Citrus Bowl,"Orlando ",Belgium,1,0,Morocco," "
1994,"19 Jun 1994 - 16:00 ",Group E,RFK Stadium,"Washington Dc ",Norway,1,0,Mexico," "
1994,"19 Jun 1994 - 19:30 ",Group B,Rose Bowl,"Los Angeles ",Cameroon,2,2,Sweden," "
1994,"20 Jun 1994 - 19:30 ",Group F,RFK Stadium,"Washington Dc ",Netherlands,2,1,Saudi Arabia," "
1994,"20 Jun 1994 - 16:00 ",Group B,Stanford Stadium,"San Francisco ",Brazil,2,0,Russia," "
1994,"21 Jun 1994 - 12:30 ",Group D,Foxboro Stadium,"Boston ",Argentina,4,0,Greece," "
1994,"21 Jun 1994 - 19:30 ",Group D,Cotton Bowl,"Dallas ",Nigeria,3,0,Bulgaria," "
1994,"21 Jun 1994 - 16:00 ",Group C,Soldier Field,"Chicago ",Germany,1,1,Spain," "
1994,"22 Jun 1994 - 16:00 ",Group A,Pontiac Silverdome,"Detroit ",Romania,1,4,Switzerland," "
1994,"22 Jun 1994 - 19:30 ",Group A,Rose Bowl,"Los Angeles ",USA,2,1,Colombia," "
1994,"23 Jun 1994 - 16:00 ",Group E,Giants Stadium,"New York/New Jersey ",Italy,1,0,Norway," "
1994,"23 Jun 1994 - 19:30 ",Group C,Foxboro Stadium,"Boston ",Korea Republic,0,0,Bolivia," "
1994,"24 Jun 1994 - 12:30 ",Group E,Citrus Bowl,"Orlando ",Mexico,2,1,Republic of Ireland," "
1994,"24 Jun 1994 - 19:30 ",Group B,Pontiac Silverdome,"Detroit ",Sweden,3,1,Russia," "
1994,"24 Jun 1994 - 16:00 ",Group B,Stanford Stadium,"San Francisco ",Brazil,3,0,Cameroon," "
1994,"25 Jun 1994 - 12:30 ",Group F,Citrus Bowl,"Orlando ",Belgium,1,0,Netherlands," "
1994,"25 Jun 1994 - 12:30 ",Group F,Giants Stadium,"New York/New Jersey ",Saudi Arabia,2,1,Morocco," "
1994,"25 Jun 1994 - 16:00 ",Group D,Foxboro Stadium,"Boston ",Argentina,2,1,Nigeria," "
1994,"26 Jun 1994 - 12:30 ",Group D,Soldier Field,"Chicago ",Bulgaria,4,0,Greece," "
1994,"26 Jun 1994 - 16:00 ",Group A,Rose Bowl,"Los Angeles ",USA,0,1,Romania," "
1994,"26 Jun 1994 - 16:00 ",Group A,Stanford Stadium,"San Francisco ",Switzerland,0,2,Colombia," "
1994,"27 Jun 1994 - 16:00 ",Group C,Cotton Bowl,"Dallas ",Germany,3,2,Korea Republic," "
1994,"27 Jun 1994 - 16:00 ",Group C,Soldier Field,"Chicago ",Bolivia,1,3,Spain," "
1994,"28 Jun 1994 - 12:30 ",Group E,Giants Stadium,"New York/New Jersey ",Republic of Ireland,0,0,Norway," "
1994,"28 Jun 1994 - 16:00 ",Group B,Pontiac Silverdome,"Detroit ",Brazil,1,1,Sweden," "
1994,"28 Jun 1994 - 12:30 ",Group E,RFK Stadium,"Washington Dc ",Italy,1,1,Mexico," "
1994,"28 Jun 1994 - 16:00 ",Group B,Stanford Stadium,"San Francisco ",Russia,6,1,Cameroon," "
1994,"29 Jun 1994 - 12:30 ",Group F,Citrus Bowl,"Orlando ",Morocco,1,2,Netherlands," "
1994,"29 Jun 1994 - 12:30 ",Group F,RFK Stadium,"Washington Dc ",Belgium,0,1,Saudi Arabia," "
1994,"30 Jun 1994 - 19:30 ",Group D,Foxboro Stadium,"Boston ",Greece,0,2,Nigeria," "
1994,"30 Jun 1994 - 19:30 ",Group D,Cotton Bowl,"Dallas ",Argentina,0,2,Bulgaria," "
1994,"02 Jul 1994 - 12:00 ",Round of 16,Soldier Field,"Chicago ",Germany,3,2,Belgium," "
1994,"02 Jul 1994 - 16:30 ",Round of 16,RFK Stadium,"Washington Dc ",Spain,3,0,Switzerland," "
1994,"03 Jul 1994 - 12:00 ",Round of 16,Cotton Bowl,"Dallas ",Saudi Arabia,1,3,Sweden," "
1994,"03 Jul 1994 - 13:30 ",Round of 16,Rose Bowl,"Los Angeles ",Romania,3,2,Argentina," "
1994,"04 Jul 1994 - 12:00 ",Round of 16,Citrus Bowl,"Orlando ",Netherlands,2,0,Republic of Ireland," "
1994,"04 Jul 1994 - 12:30 ",Round of 16,Stanford Stadium,"San Francisco ",Brazil,1,0,USA," "
1994,"05 Jul 1994 - 13:00 ",Round of 16,Foxboro Stadium,"Boston ",Nigeria,1,2,Italy,"Italy win after extra time "
1994,"05 Jul 1994 - 16:30 ",Round of 16,Giants Stadium,"New York/New Jersey ",Mexico,1,1,Bulgaria,"Bulgaria win on penalties (1 - 3) "
1994,"09 Jul 1994 - 12:00 ",Quarter-finals,Foxboro Stadium,"Boston ",Italy,2,1,Spain," "
1994,"09 Jul 1994 - 14:30 ",Quarter-finals,Cotton Bowl,"Dallas ",Netherlands,2,3,Brazil," "
1994,"10 Jul 1994 - 12:00 ",Quarter-finals,Giants Stadium,"New York/New Jersey ",Bulgaria,2,1,Germany," "
1994,"10 Jul 1994 - 12:30 ",Quarter-finals,Stanford Stadium,"San Francisco ",Romania,2,2,Sweden,"Sweden win on penalties (4 - 5) "
1994,"13 Jul 1994 - 16:00 ",Semi-finals,Giants Stadium,"New York/New Jersey ",Bulgaria,1,2,Italy," "
1994,"13 Jul 1994 - 16:30 ",Semi-finals,Rose Bowl,"Los Angeles ",Sweden,0,1,Brazil," "
1994,"16 Jul 1994 - 12:30 ",Match for third place,Rose Bowl,"Los Angeles ",Sweden,4,0,Bulgaria," "
1994,"17 Jul 1994 - 12:30 ",Final,Rose Bowl,"Los Angeles ",Brazil,0,0,Italy,"Brazil win on penalties (3 - 2) "
1998,"10 Jun 1998 - 17:30 ",Group A,Stade de France,"Saint-Denis ",Brazil,2,1,Scotland," "
1998,"10 Jun 1998 - 21:00 ",Group A,La Mosson,"Montpellier ",Morocco,2,2,Norway," "
1998,"11 Jun 1998 - 17:30 ",Group B,Stade du Parc Lescure,"Bordeaux ",Italy,2,2,Chile," "
1998,"11 Jun 1998 - 21:00 ",Group B,Stade Municipal,"Toulouse ",Cameroon,1,1,Austria," "
1998,"12 Jun 1998 - 14:30 ",Group D,La Mosson,"Montpellier ",Paraguay,0,0,Bulgaria," "
1998,"12 Jun 1998 - 17:30 ",Group C,Stade Felix Bollaert,"Lens ",Saudi Arabia,0,1,Denmark," "
1998,"12 Jun 1998 - 21:00 ",Group C,Stade V�lodrome,"Marseilles ",France,3,0,South Africa," "
1998,"13 Jun 1998 - 14:30 ",Group D,La Beaujoire,"Nantes ",Spain,2,3,Nigeria," "
1998,"13 Jun 1998 - 17:30 ",Group E,Stade de Gerland,"Lyon ",Korea Republic,1,3,Mexico," "
1998,"13 Jun 1998 - 21:00 ",Group E,Stade de France,"Saint-Denis ",Netherlands,0,0,Belgium," "
1998,"14 Jun 1998 - 14:30 ",Group H,Stade Municipal,"Toulouse ",Argentina,1,0,Japan," "
1998,"14 Jun 1998 - 17:30 ",Group F,Stade Geoffroy Guichard,"Saint-Etienne ",Yugoslavia,1,0,Iran," "
1998,"14 Jun 1998 - 21:00 ",Group H,Stade Felix Bollaert,"Lens ",Jamaica,1,3,Croatia," "
1998,"15 Jun 1998 - 14:30 ",Group G,Stade V�lodrome,"Marseilles ",England,2,0,Tunisia," "
1998,"15 Jun 1998 - 17:30 ",Group G,Stade de Gerland,"Lyon ",Romania,1,0,Colombia," "
1998,"15 Jun 1998 - 21:00 ",Group F,Parc des Princes,"Paris ",Germany,2,0,USA," "
1998,"16 Jun 1998 - 17:30 ",Group A,Stade du Parc Lescure,"Bordeaux ",Scotland,1,1,Norway," "
1998,"16 Jun 1998 - 21:00 ",Group A,La Beaujoire,"Nantes ",Brazil,3,0,Morocco," "
1998,"17 Jun 1998 - 17:30 ",Group B,Stade Geoffroy Guichard,"Saint-Etienne ",Chile,1,1,Austria," "
1998,"17 Jun 1998 - 21:00 ",Group B,La Mosson,"Montpellier ",Italy,3,0,Cameroon," "
1998,"18 Jun 1998 - 17:30 ",Group C,Stade Municipal,"Toulouse ",South Africa,1,1,Denmark," "
1998,"18 Jun 1998 - 21:00 ",Group C,Stade de France,"Saint-Denis ",France,4,0,Saudi Arabia," "
1998,"19 Jun 1998 - 17:30 ",Group D,Parc des Princes,"Paris ",Nigeria,1,0,Bulgaria," "
1998,"19 Jun 1998 - 21:00 ",Group D,Stade Geoffroy Guichard,"Saint-Etienne ",Spain,0,0,Paraguay," "
1998,"20 Jun 1998 - 14:30 ",Group H,La Beaujoire,"Nantes ",Japan,0,1,Croatia," "
1998,"20 Jun 1998 - 17:30 ",Group E,Stade du Parc Lescure,"Bordeaux ",Belgium,2,2,Mexico," "
1998,"20 Jun 1998 - 21:00 ",Group E,Stade V�lodrome,"Marseilles ",Netherlands,5,0,Korea Republic," "
1998,"21 Jun 1998 - 14:30 ",Group F,Stade Felix Bollaert,"Lens ",Germany,2,2,Yugoslavia," "
1998,"21 Jun 1998 - 17:30 ",Group H,Parc des Princes,"Paris ",Argentina,5,0,Jamaica," "
1998,"21 Jun 1998 - 21:00 ",Group F,Stade de Gerland,"Lyon ",USA,1,2,Iran," "
1998,"22 Jun 1998 - 17:30 ",Group G,La Mosson,"Montpellier ",Colombia,1,0,Tunisia," "
1998,"22 Jun 1998 - 21:00 ",Group G,Stade Municipal,"Toulouse ",Romania,2,1,England," "
1998,"23 Jun 1998 - 16:00 ",Group B,Stade de France,"Saint-Denis ",Italy,2,1,Austria," "
1998,"23 Jun 1998 - 16:00 ",Group B,La Beaujoire,"Nantes ",Chile,1,1,Cameroon," "
1998,"23 Jun 1998 - 21:00 ",Group A,Stade Geoffroy Guichard,"Saint-Etienne ",Scotland,0,3,Morocco," "
1998,"23 Jun 1998 - 21:00 ",Group A,Stade V�lodrome,"Marseilles ",Brazil,1,2,Norway," "
1998,"24 Jun 1998 - 16:00 ",Group C,Stade de Gerland,"Lyon ",France,2,1,Denmark," "
1998,"24 Jun 1998 - 16:00 ",Group C,Stade du Parc Lescure,"Bordeaux ",South Africa,2,2,Saudi Arabia," "
1998,"24 Jun 1998 - 21:00 ",Group D,Stade Felix Bollaert,"Lens ",Spain,6,1,Bulgaria," "
1998,"24 Jun 1998 - 21:00 ",Group D,Stade Municipal,"Toulouse ",Nigeria,1,3,Paraguay," "
1998,"25 Jun 1998 - 16:00 ",Group E,Parc des Princes,"Paris ",Belgium,1,1,Korea Republic," "
1998,"25 Jun 1998 - 16:00 ",Group E,Stade Geoffroy Guichard,"Saint-Etienne ",Netherlands,2,2,Mexico," "
1998,"25 Jun 1998 - 21:00 ",Group F,La Mosson,"Montpellier ",Germany,2,0,Iran," "
1998,"25 Jun 1998 - 21:00 ",Group F,La Beaujoire,"Nantes ",USA,0,1,Yugoslavia," "
1998,"26 Jun 1998 - 16:00 ",Group H,Stade de Gerland,"Lyon ",Japan,1,2,Jamaica," "
1998,"26 Jun 1998 - 16:00 ",Group H,Stade du Parc Lescure,"Bordeaux ",Argentina,1,0,Croatia," "
1998,"26 Jun 1998 - 21:00 ",Group G,Stade de France,"Saint-Denis ",Romania,1,1,Tunisia," "
1998,"26 Jun 1998 - 21:00 ",Group G,Stade Felix Bollaert,"Lens ",Colombia,0,2,England," "
1998,"27 Jun 1998 - 16:30 ",Round of 16,Stade V�lodrome,"Marseilles ",Italy,1,0,Norway," "
1998,"27 Jun 1998 - 21:00 ",Round of 16,Parc des Princes,"Paris ",Brazil,4,1,Chile," "
1998,"28 Jun 1998 - 16:30 ",Round of 16,Stade Felix Bollaert,"Lens ",France,1,0,Paraguay,"France win after extra time "
1998,"28 Jun 1998 - 21:00 ",Round of 16,Stade de France,"Saint-Denis ",Nigeria,1,4,Denmark," "
1998,"29 Jun 1998 - 16:30 ",Round of 16,La Mosson,"Montpellier ",Germany,2,1,Mexico," "
1998,"29 Jun 1998 - 21:00 ",Round of 16,Stade Municipal,"Toulouse ",Netherlands,2,1,Yugoslavia," "
1998,"30 Jun 1998 - 16:30 ",Round of 16,Stade du Parc Lescure,"Bordeaux ",Romania,0,1,Croatia," "
1998,"30 Jun 1998 - 21:00 ",Round of 16,Stade Geoffroy Guichard,"Saint-Etienne ",Argentina,2,2,England,"Argentina win on penalties (4 - 3) "
1998,"03 Jul 1998 - 16:30 ",Quarter-finals,Stade de France,"Saint-Denis ",Italy,0,0,France,"France win on penalties (3 - 4) "
1998,"03 Jul 1998 - 21:00 ",Quarter-finals,La Beaujoire,"Nantes ",Brazil,3,2,Denmark," "
1998,"04 Jul 1998 - 16:30 ",Quarter-finals,Stade V�lodrome,"Marseilles ",Netherlands,2,1,Argentina," "
1998,"04 Jul 1998 - 21:00 ",Quarter-finals,Stade de Gerland,"Lyon ",Germany,0,3,Croatia," "
1998,"07 Jul 1998 - 21:00 ",Semi-finals,Stade V�lodrome,"Marseilles ",Brazil,1,1,Netherlands,"Brazil win on penalties (4 - 2) "
1998,"08 Jul 1998 - 21:00 ",Semi-finals,Stade de France,"Saint-Denis ",France,2,1,Croatia," "
1998,"11 Jul 1998 - 21:00 ",Match for third place,Parc des Princes,"Paris ",Netherlands,1,2,Croatia," "
1998,"12 Jul 1998 - 21:00 ",Final,Stade de France,"Saint-Denis ",Brazil,0,3,France," "
2002,"31 May 2002 - 20:30 ",Group A,Seoul World Cup Stadium,"Seoul ",France,0,1,Senegal," "
2002,"01 Jun 2002 - 18:00 ",Group A,Munsu Football Stadium,"Ulsan ",Uruguay,1,2,Denmark," "
2002,"01 Jun 2002 - 15:30 ",Group E,Niigata Stadium Big Swan,"Niigata ",Republic of Ireland,1,1,Cameroon," "
2002,"01 Jun 2002 - 20:30 ",Group E,Sapporo Dome,"Sapporo ",Germany,8,0,Saudi Arabia," "
2002,"02 Jun 2002 - 14:30 ",Group F,Kashima Stadium,"Ibaraki ",Argentina,1,0,Nigeria," "
2002,"02 Jun 2002 - 16:30 ",Group B,Busan Asiad Main Stadium,"Busan ",Paraguay,2,2,South Africa," "
2002,"02 Jun 2002 - 18:30 ",Group F,Saitama Stadium 2002,"Saitama ",England,1,1,Sweden," "
2002,"02 Jun 2002 - 20:30 ",Group B,Gwangju World Cup Stadium,"Gwangju ",Spain,3,1,Slovenia," "
2002,"03 June 2002 - 18:00 ",Group C,Munsu Football Stadium,"Ulsan ",Brazil,2,1,Turkey," "
2002,"03 Jun 2002 - 20:30 ",Group G,Sapporo Dome,"Sapporo ",Italy,2,0,Ecuador," "
2002,"03 Jun 2002 - 15:30 ",Group G,Niigata Stadium Big Swan,"Niigata ",Croatia,0,1,Mexico," "
2002,"04 June 2002 - 15:30 ",Group C,Gwangju World Cup Stadium,"Gwangju ",China PR,0,2,Costa Rica," "
2002,"04 June 2002 - 18:00 ",Group H,Saitama Stadium 2002,"Saitama ",Japan,2,2,Belgium," "
2002,"04 Jun 2002 - 20:30 ",Group D,Busan Asiad Main Stadium,"Busan ",Korea Republic,2,0,Poland," "
2002,"05 Jun 2002 - 15:30 ",Group H,Kobe Wing Stadium,"Kobe ",Russia,2,0,Tunisia," "
2002,"05 Jun 2002 - 18:00 ",Group D,Suwon World Cup Stadium,"Suwon ",USA,3,2,Portugal," "
2002,"05 Jun 2002 - 20:30 ",Group E,Kashima Stadium,"Ibaraki ",Germany,1,1,Republic of Ireland," "
2002,"06 Jun 2002 - 15:30 ",Group A,Daegu World Cup Stadium,"Daegu ",Denmark,1,1,Senegal," "
2002,"06 Jun 2002 - 18:00 ",Group E,Saitama Stadium 2002,"Saitama ",Cameroon,1,0,Saudi Arabia," "
2002,"06 Jun 2002 - 20:30 ",Group A,Busan Asiad Main Stadium,"Busan ",France,0,0,Uruguay," "
2002,"07 Jun 2002 - 15:30 ",Group F,Kobe Wing Stadium,"Kobe ",Sweden,2,1,Nigeria," "
2002,"07 Jun 2002 - 20:30 ",Group F,Sapporo Dome,"Sapporo ",Argentina,0,1,England," "
2002,"07 June 2002 - 18:00 ",Group B,Jeonju World Cup Stadium,"Jeonju ",Spain,3,1,Paraguay," "
2002,"08 Jun 2002 - 15:30 ",Group B,Daegu World Cup Stadium,"Daegu ",South Africa,1,0,Slovenia," "
2002,"08 Jun 2002 - 20:30 ",Group C,Jeju World Cup Stadium,"Jeju ",Brazil,4,0,China PR," "
2002,"08 June 2002 - 18:00 ",Group G,Kashima Stadium,"Ibaraki ",Italy,1,2,Croatia," "
2002,"09 Jun 2002 - 18:00 ",Group C,Incheon Football Stadium,"Incheon ",Costa Rica,1,1,Turkey," "
2002,"09 Jun 2002 - 20:30 ",Group H,International Stadium Yokohama,"Yokohama ",Japan,1,0,Russia," "
2002,"09 Jun 2002 - 15:30 ",Group G,Miyagi Stadium,"Rifu ",Mexico,2,1,Ecuador," "
2002,"10 Jun 2002 - 15:30 ",Group D,Daegu World Cup Stadium,"Daegu ",Korea Republic,1,1,USA," "
2002,"10 Jun 2002 - 20:30 ",Group D,Jeonju World Cup Stadium,"Jeonju ",Portugal,4,0,Poland," "
2002,"10 Jun 2002 - 18:00 ",Group H,Oita Stadium Big Eye,"Oita ",Tunisia,1,1,Belgium," "
2002,"11 Jun 2002 - 15:30 ",Group A,Incheon Football Stadium,"Incheon ",Denmark,2,0,France," "
2002,"11 June 2002 - 15:30 ",Group A,Suwon World Cup Stadium,"Suwon ",Senegal,3,3,Uruguay," "
2002,"11 Jun 2002 - 20:30 ",Group E,International Stadium Yokohama,"Yokohama ",Saudi Arabia,0,3,Republic of Ireland," "
2002,"11 Jun 2002 - 20:30 ",Group E,Shizuoka Stadium Ecopa,"Shizuoka ",Cameroon,0,2,Germany," "
2002,"12 Jun 2002 - 15:30 ",Group F,Miyagi Stadium,"Rifu ",Sweden,1,1,Argentina," "
2002,"12 Jun 2002 - 15:30 ",Group F,Osaka Nagai Stadium,"Osaka ",Nigeria,0,0,England," "
2002,"12 Jun 2002 - 20:30 ",Group B,Jeju World Cup Stadium,"Jeju ",Slovenia,1,3,Paraguay," "
2002,"12 Jun 2002 - 20:30 ",Group B,Daejeon World Cup Stadium,"Daejeon ",South Africa,2,3,Spain," "
2002,"13 Jun 2002 - 15:30 ",Group C,Suwon World Cup Stadium,"Suwon ",Costa Rica,2,5,Brazil," "
2002,"13 Jun 2002 - 15:30 ",Group C,Seoul World Cup Stadium,"Seoul ",Turkey,3,0,China PR," "
2002,"13 Jun 2002 - 20:30 ",Group G,International Stadium Yokohama,"Yokohama ",Ecuador,1,0,Croatia," "
2002,"13 Jun 2002 - 20:30 ",Group G,Oita Stadium Big Eye,"Oita ",Mexico,1,1,Italy," "
2002,"14 Jun 2002 - 15:30 ",Group H,Osaka Nagai Stadium,"Osaka ",Tunisia,0,2,Japan," "
2002,"14 Jun 2002 - 20:30 ",Group D,Incheon Football Stadium,"Incheon ",Portugal,0,1,Korea Republic," "
2002,"14 Jun 2002 - 20:30 ",Group D,Daejeon World Cup Stadium,"Daejeon ",Poland,3,1,USA," "
2002,"14 Jun 2002 - 15:30 ",Group H,Shizuoka Stadium Ecopa,"Shizuoka ",Belgium,3,2,Russia," "
2002,"15 Jun 2002 - 20:30 ",Round of 16,Niigata Stadium Big Swan,"Niigata ",Denmark,0,3,England," "
2002,"15 Jun 2002 - 15:30 ",Round of 16,Jeju World Cup Stadium,"Jeju ",Germany,1,0,Paraguay," "
2002,"16 Jun 2002 - 20:30 ",Round of 16,Suwon World Cup Stadium,"Suwon ",Spain,1,1,Republic of Ireland,"Spain win on penalties (3 - 2) "
2002,"16 Jun 2002 - 15:30 ",Round of 16,Oita Stadium Big Eye,"Oita ",Sweden,1,2,Senegal,"Win on Golden Goal "
2002,"17 Jun 2002 - 20:30 ",Round of 16,Kobe Wing Stadium,"Kobe ",Brazil,2,0,Belgium," "
2002,"17 June 2002 - 15:30 ",Round of 16,Jeonju World Cup Stadium,"Jeonju ",Mexico,0,2,USA," "
2002,"18 Jun 2002 - 15:30 ",Round of 16,Miyagi Stadium,"Rifu ",Japan,0,1,Turkey," "
2002,"18 Jun 2002 - 20:30 ",Round of 16,Daejeon World Cup Stadium,"Daejeon ",Korea Republic,2,1,Italy,"Win on Golden Goal "
2002,"21 Jun 2002 - 15:30 ",Quarter-finals,Shizuoka Stadium Ecopa,"Shizuoka ",England,1,2,Brazil," "
2002,"21 Jun 2002 - 20:30 ",Quarter-finals,Munsu Football Stadium,"Ulsan ",Germany,1,0,USA," "
2002,"22 Jun 2002 - 20:30 ",Quarter-finals,Osaka Nagai Stadium,"Osaka ",Senegal,0,1,Turkey,"Win on Golden Goal "
2002,"22 Jun 2002 - 15:30 ",Quarter-finals,Gwangju World Cup Stadium,"Gwangju ",Spain,0,0,Korea Republic,"Korea Republic win on penalties (3 - 5) "
2002,"25 Jun 2002 - 20:30 ",Semi-finals,Seoul World Cup Stadium,"Seoul ",Germany,1,0,Korea Republic," "
2002,"26 Jun 2002 - 20:30 ",Semi-finals,Saitama Stadium 2002,"Saitama ",Brazil,1,0,Turkey," "
2002,"29 Jun 2002 - 20:00 ",Third place,Daegu World Cup Stadium,"Daegu ",Korea Republic,2,3,Turkey," "
2002,"30 Jun 2002 - 20:00 ",Final,International Stadium Yokohama,"Yokohama ",Germany,0,2,Brazil," "
2006,"09 Jun 2006 - 18:00 ",Group A,"FIFA World Cup Stadium, Munich","Munich ",Germany,4,2,Costa Rica," "
2006,"09 Jun 2006 - 21:00 ",Group A,"FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen ",Poland,0,2,Ecuador," "
2006,"10 Jun 2006 - 15:00 ",Group B,"FIFA World Cup Stadium, Frankfurt","Frankfurt/Main ",England,1,0,Paraguay," "
2006,"10 Jun 2006 - 18:00 ",Group B,"FIFA World Cup Stadium, Dortmund","Dortmund ",Trinidad and Tobago,0,0,Sweden," "
2006,"10 Jun 2006 - 21:00 ",Group C,"FIFA World Cup Stadium, Hamburg","Hamburg ",Argentina,2,1,C�te d'Ivoire," "
2006,"11 Jun 2006 - 15:00 ",Group C,Zentralstadion,"Leipzig ",Serbia and Montenegro,0,1,Netherlands," "
2006,"11 Jun 2006 - 18:00 ",Group D,Franken-Stadion,"Nuremberg ",Mexico,3,1,Iran," "
2006,"11 Jun 2006 - 21:00 ",Group D,"FIFA World Cup Stadium, Cologne","Cologne ",Angola,0,1,Portugal," "
2006,"12 Jun 2006 - 15:00 ",Group F,Fritz-Walter-Stadion,"Kaiserslautern ",Australia,3,1,Japan," "
2006,"12 Jun 2006 - 18:00 ",Group E,"FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen ",USA,0,3,Czech Republic," "
2006,"12 Jun 2006 - 21:00 ",Group E,"FIFA World Cup Stadium, Hanover","Hanover ",Italy,2,0,Ghana," "
2006,"13 Jun 2006 - 15:00 ",Group G,"FIFA World Cup Stadium, Frankfurt","Frankfurt/Main ",Korea Republic,2,1,Togo," "
2006,"13 Jun 2006 - 18:00 ",Group G,Gottlieb-Daimler-Stadion,"Stuttgart ",France,0,0,Switzerland," "
2006,"13 Jun 2006 - 21:00 ",Group F,Olympiastadion,"Berlin ",Brazil,1,0,Croatia," "
2006,"14 Jun 2006 - 15:00 ",Group H,Zentralstadion,"Leipzig ",Spain,4,0,Ukraine," "
2006,"14 Jun 2006 - 18:00 ",Group H,"FIFA World Cup Stadium, Munich","Munich ",Tunisia,2,2,Saudi Arabia," "
2006,"14 Jun 2006 - 21:00 ",Group A,"FIFA World Cup Stadium, Dortmund","Dortmund ",Germany,1,0,Poland," "
2006,"15 Jun 2006 - 15:00 ",Group A,"FIFA World Cup Stadium, Hamburg","Hamburg ",Ecuador,3,0,Costa Rica," "
2006,"15 Jun 2006 - 18:00 ",Group B,Franken-Stadion,"Nuremberg ",England,2,0,Trinidad and Tobago," "
2006,"15 Jun 2006 - 21:00 ",Group B,Olympiastadion,"Berlin ",Sweden,1,0,Paraguay," "
2006,"16 Jun 2006 - 15:00 ",Group C,"FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen ",Argentina,6,0,Serbia and Montenegro," "
2006,"16 Jun 2006 - 18:00 ",Group C,Gottlieb-Daimler-Stadion,"Stuttgart ",Netherlands,2,1,C�te d'Ivoire," "
2006,"16 Jun 2006 - 21:00 ",Group D,"FIFA World Cup Stadium, Hanover","Hanover ",Mexico,0,0,Angola," "
2006,"17 Jun 2006 - 15:00 ",Group D,"FIFA World Cup Stadium, Frankfurt","Frankfurt/Main ",Portugal,2,0,IR Iran," "
2006,"17 Jun 2006 - 18:00 ",Group E,"FIFA World Cup Stadium, Cologne","Cologne ",Czech Republic,0,2,Ghana," "
2006,"17 Jun 2006 - 21:00 ",Group E,Fritz-Walter-Stadion,"Kaiserslautern ",Italy,1,1,USA," "
2006,"18 Jun 2006 - 15:00 ",Group F,Franken-Stadion,"Nuremberg ",Japan,0,0,Croatia," "
2006,"18 Jun 2006 - 18:00 ",Group F,"FIFA World Cup Stadium, Munich","Munich ",Brazil,2,0,Australia," "
2006,"18 Jun 2006 - 21:00 ",Group G,Zentralstadion,"Leipzig ",France,1,1,Korea Republic," "
2006,"19 Jun 2006 - 15:00 ",Group G,"FIFA World Cup Stadium, Dortmund","Dortmund ",Togo,0,2,Switzerland," "
2006,"19 Jun 2006 - 18:00 ",Group H,"FIFA World Cup Stadium, Hamburg","Hamburg ",Saudi Arabia,0,4,Ukraine," "
2006,"19 Jun 2006 - 21:00 ",Group H,Gottlieb-Daimler-Stadion,"Stuttgart ",Spain,3,1,Tunisia," "
2006,"20 Jun 2006 - 16:00 ",Group A,Olympiastadion,"Berlin ",Ecuador,0,3,Germany," "
2006,"20 Jun 2006 - 16:00 ",Group A,"FIFA World Cup Stadium, Hanover","Hanover ",Costa Rica,1,2,Poland," "
2006,"20 Jun 2006 - 21:00 ",Group B,"FIFA World Cup Stadium, Cologne","Cologne ",Sweden,2,2,England," "
2006,"20 Jun 2006 - 21:00 ",Group B,Fritz-Walter-Stadion,"Kaiserslautern ",Paraguay,2,0,Trinidad and Tobago," "
2006,"21 Jun 2006 - 16:00 ",Group D,Zentralstadion,"Leipzig ",Iran,1,1,Angola," "
2006,"21 Jun 2006 - 16:00 ",Group D,"FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen ",Portugal,2,1,Mexico," "
2006,"21 Jun 2006 - 21:00 ",Group C,"FIFA World Cup Stadium, Frankfurt","Frankfurt/Main ",Netherlands,0,0,Argentina," "
2006,"21 Jun 2006 - 21:00 ",Group C,"FIFA World Cup Stadium, Munich","Munich ",C�te d'Ivoire,3,2,Serbia and Montenegro," "
